"Price","Build.year","Estimated.neighbourhood.price.per.m2","Lot.size.m2","Living.space.size.m2","Nieuwbouw","Number.of.kamers","Number.of.slaapkamers","Number.of.bathrooms","Number.of.separate.toilets","Number.of.woonlagen","Kelder","Energy.label.numeric","Garden.dummy"
875000,"1910",1200,278,223,0,8,4,1,2,3,0,5,1
550000,"1969",1530,929,159,0,4,3,1,1,2,0,5,1
525000,"1934",7710,572,189,0,6,5,1,1,2,0,3,1
425000,"1988",3335,710,144,0,7,4,2,1,2,0,7,1
565000,"Voor 1906",745,789,71,0,5,3,1,1,2,0,2,1
275000,"1979",22330,144,99,0,5,4,1,1,2,0,7,1
490000,"1991",540,715,135,0,5,4,2,1,2,0,6,1
350000,"1984",3270,116,92,0,4,3,1,1,3,0,6,1
5e+05,"1998",3670,128,156,0,5,3,1,2,3,0,7,0
389000,"1937",765,680,106,0,4,2,1,1,2,0,5,1
298000,"1964",2120,490,124,0,5,4,2,2,3,0,6,1
1299069,"2002",270,3910,391,0,8,5,1,1,2,0,8,1
350000,"1988",12510,124,101,0,5,4,1,1,3,0,8,1
550000,"1989",865,375,161,0,6,5,2,1,3,0,7,1
325000,"1920",2575,310,129,0,10,3,2,0,2,1,5,1
389500,"1792",1550,379,286,0,6,4,1,1,2,1,2,0
219000,"1960",4230,209,85,0,4,3,1,1,3,0,4,1
395000,"2008",1885,297,140,0,4,3,1,1,2,0,8,1
539000,"1998",4900,311,152,0,5,4,1,2,3,0,7,1
242500,"1967",955,152,122,0,7,4,1,1,3,0,6,1
399000,"1982",4715,248,113,0,5,4,1,1,3,0,6,1
450000,"1997",5615,154,131,0,4,3,1,1,2,0,7,1
275000,"1981",3725,200,135,0,5,4,2,1,2,0,7,1
450000,"1982",1450,142,128,0,5,4,1,0,3,0,8,1
250000,"1969",765,230,112,0,5,3,1,1,2,0,5,1
360000,"1996",805,142,104,0,3,2,1,1,2,0,7,1
397500,"1875",1710,195,102,0,3,2,1,1,2,0,6,1
685000,"2000",2160,523,170,0,5,4,1,1,2,0,8,1
365000,"1962",5090,155,121,0,6,5,1,1,3,0,6,1
269500,"1926",1225,203,65,0,4,3,1,0,2,0,2,1
450000,"2001",3800,115,118,0,4,3,1,1,2,0,8,0
3e+05,"1957",860,212,95,0,5,3,1,1,3,0,5,1
389000,"1988",3575,115,89,0,4,3,1,1,3,0,6,1
5e+05,"1969",4010,201,121,0,5,4,1,1,3,0,6,1
297500,"1952",4285,190,104,0,5,3,1,1,3,0,6,1
385000,"1991",1080,103,108,0,4,3,1,1,3,0,8,1
425000,"1985",11330,132,89,0,4,3,1,2,2,0,7,1
1295000,"2004",10415,740,370,0,7,5,3,1,2,1,8,1
425000,"1931",3800,445,106,0,5,3,1,1,3,0,4,1
525000,"1990",1435,324,142,0,4,3,1,1,2,0,7,1
310000,"1977",5940,141,93,0,3,2,1,1,2,0,7,1
599000,"1960",5500,431,160,0,5,4,1,1,3,0,6,1
465000,"2011",1875,160,124,0,5,4,1,1,3,0,10,1
3e+05,"1934",730,127,119,0,4,3,1,1,3,0,6,1
549000,"1990",675,498,179,0,7,5,1,1,3,0,7,1
339000,"1967",690,219,84,0,5,4,1,2,3,0,6,1
325000,"1980",2165,159,91,0,4,3,1,1,2,0,6,1
550000,"1940",2455,1313,203,0,6,4,1,2,2,0,8,1
345000,"1973",3590,144,113,0,6,3,1,2,4,1,6,1
685000,"1977",11035,368,147,0,5,4,1,2,3,0,6,1
385000,"2010",9455,94,91,0,5,3,1,1,2,0,8,1
275000,"1960",545,404,117,0,4,3,1,1,2,0,5,1
489500,"1990",6360,290,124,0,5,4,1,1,2,0,7,1
375000,"1975",1675,168,134,0,6,5,1,1,2,0,7,1
625000,"2010",3370,152,139,0,5,3,2,2,3,0,8,1
579000,"1989",370,552,133,0,5,3,1,1,2,0,7,1
345000,"1905",3690,172,86,0,2,1,1,1,2,0,3,1
5e+05,"1955",1980,250,88,0,4,3,1,1,2,0,6,1
217500,"1947",1315,212,84,0,4,3,1,0,2,0,2,1
319000,"1980",2940,243,140,0,5,4,1,1,3,0,6,1
475000,"2009",2230,132,133,0,5,3,1,1,3,0,8,1
275000,"1933",1315,577,152,0,6,3,1,1,3,0,6,1
4e+05,"1964",2990,153,113,0,5,4,1,1,3,0,5,1
695000,"1961",8105,162,104,0,5,4,1,1,2,0,2,1
685000,"1923",650,530,120,0,4,3,1,1,2,0,3,1
179000,"1971",850,129,90,0,4,3,1,1,2,1,6,1
375000,"1997",2670,185,101,0,4,3,1,1,3,0,7,1
345000,"1991",2575,147,104,0,5,4,1,1,2,0,6,1
215000,"1987",2085,118,106,0,5,4,1,1,3,0,6,1
450000,"1956",230,1773,150,0,5,3,1,1,2,0,2,1
279000,"1972",4590,179,115,0,6,5,1,1,3,0,6,1
170000,"1924",1510,201,81,0,4,3,1,0,2,0,6,1
299500,"1948",2835,185,131,0,5,5,2,0,2,0,6,1
325000,"1988",685,387,106,0,6,4,1,1,3,0,7,1
359000,"1954",2480,342,146,0,5,4,1,1,2,0,4,1
350000,"2007",1325,140,110,0,4,3,2,1,2,0,8,0
349500,"1973",655,182,119,0,5,4,1,1,3,0,6,1
415000,"1993",880,1674,157,0,5,4,1,1,2,0,6,1
4e+05,"1967",1535,312,97,0,6,4,1,0,2,0,7,1
650000,"1890",2670,113,126,0,5,4,1,1,3,0,5,1
349000,"1953",7090,295,86,0,4,3,1,1,2,0,3,1
649000,"2003",3785,540,167,0,6,3,1,2,3,0,8,1
350000,"1965",6245,219,115,0,6,5,1,1,3,0,6,1
259000,"1920",1005,107,104,0,3,2,1,1,2,0,5,1
210000,"1929",4895,178,75,0,3,2,1,1,2,0,5,1
645000,"2008",3810,510,255,0,8,7,1,1,2,0,8,1
475000,"1998",7235,147,145,0,7,5,1,1,3,0,8,1
350000,"1964",3430,50,77,0,4,3,1,1,2,1,4,0
429500,"1964",2290,243,119,0,5,4,1,1,2,0,5,1
265000,"1910",1040,83,88,0,3,2,1,1,2,0,3,1
625000,"2001",3375,160,152,0,6,3,1,1,2,0,8,0
425000,"2010",985,106,125,0,5,4,1,1,3,0,8,1
425000,"1967",3805,209,100,0,5,4,1,1,3,0,6,1
299000,"1968",1980,170,80,0,4,3,1,1,2,0,5,1
359900,"2003",7710,113,142,0,4,3,1,1,2,0,8,1
489500,"1998",2345,117,110,0,5,4,1,1,3,0,8,1
5e+05,"2003",2385,171,136,0,4,3,1,1,3,0,8,1
225000,"1965",725,134,103,0,5,4,2,1,2,0,6,1
289000,"1973",1325,345,92,0,4,3,1,1,3,0,6,1
365000,"1981",16115,151,110,0,4,3,1,1,3,0,8,1
625000,"1996",1345,215,188,0,6,5,1,2,3,0,7,1
230000,"1935",695,197,120,0,7,5,1,1,3,1,2,1
495000,"1956",2300,134,116,0,5,4,1,1,3,0,5,1
259000,"1951",3215,125,82,0,4,3,1,1,2,0,4,1
3e+05,"1980",1335,68,98,0,3,2,1,1,2,0,6,0
345000,"1964",3035,147,93,0,5,4,1,1,3,0,7,1
249500,"1975",2705,158,111,0,4,3,1,1,2,0,5,1
775000,"1883",1305,2430,303,0,9,5,1,2,2,0,5,1
375000,"1915",2890,64,58,0,3,2,1,1,2,0,3,1
1095000,"1923",785,8760,229,0,8,5,1,1,2,0,7,1
825000,"2019",4020,305,164,0,5,3,1,2,3,0,8,1
4e+05,"1992",7205,145,117,0,5,4,1,1,3,0,9,1
369000,"1993",1080,248,118,0,5,4,2,1,2,0,6,1
650000,"1938",2390,310,127,0,6,5,2,1,4,0,5,1
195000,"1966",2065,273,85,0,4,3,1,1,2,0,6,1
365000,"1959",6220,383,116,0,6,4,1,2,3,0,2,1
249000,"1965",2890,180,87,0,4,3,1,1,3,0,6,1
495000,"1840",605,52314,100,0,2,1,1,1,2,0,2,1
350000,"2004",2780,653,108,0,5,4,1,1,3,0,8,1
369000,"1984",1840,473,166,0,5,3,1,1,3,0,6,0
